cpa,yr_id,name,population,,,
Central Mountain,2020,45 to 49,277,,,
Central Mountain,2020,50 to 54,253,,,
Central Mountain,2020,55 to 59,411,,,
Central Mountain,2020,60 and 61,184,,,
Central Mountain,2020,62 to 64,282,,,
Central Mountain,2020,65 to 69,453,,,
Central Mountain,2020,70 to 74,345,,,
Central Mountain,2020,75 to 79,183,,,
Central Mountain,2020,80 to 84,92,,,
Central Mountain,2020,85 and Older,71,,,
Clairemont Mesa,2020,Under 5,4032,,,
Clairemont Mesa,2020,5 to 9,3874,,,
Clairemont Mesa,2020,10 to 14,3592,,,
Clairemont Mesa,2020,15 to 17,2208,,,
Clairemont Mesa,2020,18 and 19,1351,,,
Clairemont Mesa,2020,20 to 24,5086,,,
Clairemont Mesa,2020,25 to 29,6497,,,
Clairemont Mesa,2020,30 to 34,6455,,,
Clairemont Mesa,2020,35 to 39,6149,,,
Clairemont Mesa,2020,40 to 44,5346,,,
Clairemont Mesa,2020,45 to 49,4792,,,
Clairemont Mesa,2020,50 to 54,5025,,,
Clairemont Mesa,2020,55 to 59,5548,,,
Clairemont Mesa,2020,60 and 61,2139,,,
Clairemont Mesa,2020,62 to 64,3141,,,
Clairemont Mesa,2020,65 to 69,4509,,,
Clairemont Mesa,2020,70 to 74,3565,,,
Clairemont Mesa,2020,75 to 79,2397,,,
Clairemont Mesa,2020,80 to 84,1755,,,
Clairemont Mesa,2020,85 and Older,2169,,,
College Area,2020,Under 5,841,,,
College Area,2020,5 to 9,783,,,
College Area,2020,10 to 14,624,,,
College Area,2020,15 to 17,356,,,
College Area,2020,18 and 19,1164,,,
College Area,2020,20 to 24,10390,,,
College Area,2020,25 to 29,2138,,,
College Area,2020,30 to 34,1401,,,
College Area,2020,35 to 39,1106,,,
College Area,2020,40 to 44,860,,,
College Area,2020,45 to 49,868,,,
College Area,2020,50 to 54,800,,,
College Area,2020,55 to 59,811,,,
College Area,2020,60 and 61,333,,,
College Area,2020,62 to 64,410,,,
College Area,2020,65 to 69,681,,,
College Area,2020,70 to 74,546,,,
College Area,2020,75 to 79,325,,,
College Area,2020,80 to 84,226,,,
College Area,2020,85 and Older,305,,,
County Islands,2020,Under 5,119,,,
County Islands,2020,5 to 9,169,,,
County Islands,2020,10 to 14,171,,,
County Islands,2020,15 to 17,95,,,
County Islands,2020,18 and 19,67,,,
County Islands,2020,20 to 24,149,,,
County Islands,2020,25 to 29,206,,,
County Islands,2020,30 to 34,156,,,
County Islands,2020,35 to 39,135,,,
County Islands,2020,40 to 44,151,,,
County Islands,2020,45 to 49,126,,,
County Islands,2020,50 to 54,131,,,
County Islands,2020,55 to 59,150,,,
County Islands,2020,60 and 61,49,,,
County Islands,2020,62 to 64,76,,,
County Islands,2020,65 to 69,104,,,
County Islands,2020,70 to 74,68,,,
County Islands,2020,75 to 79,49,,,
County Islands,2020,80 to 84,21,,,
County Islands,2020,85 and Older,33,,,
Crest-Dehesa,2020,Under 5,539,,,
Crest-Dehesa,2020,5 to 9,627,,,
Crest-Dehesa,2020,10 to 14,595,,,
Crest-Dehesa,2020,15 to 17,380,,,
Crest-Dehesa,2020,18 and 19,208,,,
Crest-Dehesa,2020,20 to 24,533,,,
Crest-Dehesa,2020,25 to 29,524,,,
Crest-Dehesa,2020,30 to 34,638,,,
Crest-Dehesa,2020,35 to 39,558,,,
Crest-Dehesa,2020,40 to 44,584,,,
Crest-Dehesa,2020,45 to 49,580,,,
Crest-Dehesa,2020,50 to 54,651,,,
Crest-Dehesa,2020,55 to 59,866,,,
Crest-Dehesa,2020,60 and 61,360,,,
Crest-Dehesa,2020,62 to 64,565,,,
